"id","categories"
010,"水・ミネラルウォーター"
020,"炭酸水"
030,"お茶"
040,"炭酸飲料"
050,"野菜ジュース"
060,"トマトジュース"
070,"コーヒー飲料"
080,"スポーツドリンク"
090,"清涼飲料"
100,"果実飲料"
110,"紅茶飲料"
120,"豆乳飲料"
130,"その他のソフトドリンク"
